file,mca,uarch,compiler,layout,dims,rthr
main,osaca,znver3,gcc,Morton,7,7.0
main,osaca,haswell,gcc,Canonical,7,6.0
main,osaca,znver3,gcc,Canonical,7,6.0
main,osaca,haswell,gcc,Morton,8,8.0
main,osaca,znver3,gcc,Morton,8,8.0
main,osaca,haswell,gcc,Canonical,8,7.0
main,osaca,znver3,gcc,Canonical,8,7.0
main,osaca,haswell,gcc,Morton,9,9.0
main,osaca,znver3,gcc,Morton,9,9.0
main,osaca,haswell,gcc,Canonical,9,8.0
main,osaca,znver3,gcc,Canonical,9,8.0
main,osaca,haswell,gcc,Morton,10,10.0
main,osaca,znver3,gcc,Morton,10,10.0
main,osaca,haswell,gcc,Canonical,10,9.0
main,osaca,znver3,gcc,Canonical,10,9.0
main,osaca,haswell,clang,Morton,1,1.0
main,osaca,znver3,clang,Morton,1,1.0
main,osaca,haswell,clang,Canonical,1,1.0
main,osaca,znver3,clang,Canonical,1,0.67
main,osaca,haswell,clang,Morton,2,2.0
main,osaca,znver3,clang,Morton,2,2.0
main,osaca,haswell,clang,Canonical,2,1.5
main,osaca,znver3,clang,Canonical,2,1.0
main,osaca,haswell,clang,Morton,3,3.0
main,osaca,znver3,clang,Morton,3,3.0
main,osaca,haswell,clang,Canonical,3,2.0
main,osaca,znver3,clang,Canonical,3,2.0
main,osaca,haswell,clang,Morton,4,4.0
main,osaca,znver3,clang,Morton,4,4.0
main,osaca,haswell,clang,Canonical,4,3.0
main,osaca,znver3,clang,Canonical,4,3.0
main,osaca,haswell,clang,Morton,5,5.0
main,osaca,znver3,clang,Morton,5,5.0
main,osaca,haswell,clang,Canonical,5,4.0
main,osaca,znver3,clang,Canonical,5,4.0
main,osaca,haswell,clang,Morton,6,6.0
main,osaca,znver3,clang,Morton,6,6.0
main,osaca,haswell,clang,Canonical,6,5.0
main,osaca,znver3,clang,Canonical,6,5.0
main,osaca,haswell,clang,Morton,7,7.0
main,osaca,znver3,clang,Morton,7,7.0
main,osaca,haswell,clang,Canonical,7,6.0
main,osaca,znver3,clang,Canonical,7,6.0
main,osaca,haswell,clang,Morton,8,8.0
main,osaca,znver3,clang,Morton,8,8.0
main,osaca,haswell,clang,Canonical,8,7.0
main,osaca,znver3,clang,Canonical,8,7.0
main,osaca,haswell,clang,Morton,9,9.0
main,osaca,znver3,clang,Morton,9,9.0
main,osaca,haswell,clang,Canonical,9,8.0
main,osaca,znver3,clang,Canonical,9,8.0
main,osaca,haswell,clang,Morton,10,10.0
main,osaca,znver3,clang,Morton,10,10.0
main,osaca,haswell,clang,Canonical,10,9.0
main,osaca,znver3,clang,Canonical,10,9.0
