individual,fitness
"1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0",0.11814350603662173
"0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0",0.11814350577027027
"0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0",0.11468467187335024
"1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1",0.11186467333809451
"0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0",0.11175005186527236
"1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1",0.11141128636180035
"1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1",0.11138629527483716
"0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1",0.11122063354856543
"0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0",0.11117467217528147
"1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1",0.11117123013493971
"1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1",0.1111649919516374
"0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0",0.11038409913903072
"0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1",0.10886493403254799
"0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1",0.1088631747333033
"0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1",0.10883855480794141
"1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0",0.1087594684493587
"1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1",0.1087439966440404
"1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0",0.1087365136517596
"0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1",0.10833134724371046
"0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1",0.10832921627936888
"1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1",0.10827882300669343
"0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0",0.10307460692599858
"1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0",0.10307267056116984
"0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1",0.10307197384751063
"1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0",0.10307169101370052
"1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0",0.10307169091233642
"0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0",0.10306252244523123
"1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0",0.10305246768160294
"1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0",0.10305246768160294
"0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1",0.1000782899096901
"1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1",0.0999541999425461
"1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1",0.09945218968580861
"1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1",0.0994518551083721
"1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0",0.09842851889985893
"1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0",0.09830980456356467
"1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0",0.09830980456356467
"1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1",0.09830965304194425
"0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0",0.09830939518704247
"0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1",0.09830442903333793
"0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0",0.09830386461985585
"1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0",0.09829706712370166
"1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0",0.09828914741614149
"1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1",0.09818249537880787
"0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0",0.0979674102523273
"0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1",0.097967014494447
"1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0",0.097964775586609
"0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0",0.09796390425699525
"1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0",0.09792999664071188
"1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0",0.0979283456250705
"1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1",0.09791911826312844
"1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0",0.09791908216306108
"0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1",0.0973051742664123
"0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0",0.09730392004109997
"0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0",0.09729116295000691
"1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0",0.08218614433886823
"1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1",0.0815617751441356
"1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1",0.08156162334228337
"1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1",0.08155836367403307
"1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1",0.08155831231599249
"0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0",0.08073886348062566
"1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0",0.08073886260986528
"1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0",0.08073589919342235
"0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1",0.0791423713011761
"0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1",0.0791423713011761
"0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1",0.0791422283716765
"0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1",0.0791422283716765
"1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1",0.07914222813263028
"1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1",0.07914222813263028
"1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0",0.07914220455014344
"0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0",0.07914220455014344
"1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0",0.07914220455014344
"0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0",0.07914220455014344
"1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0",0.07914220455014344
"0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0",0.07914220455014344
"1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0",0.07914220449038191
"0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0",0.0791422044306204
"0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0",0.07914220437085887
"1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0",0.07914220431109735
"1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0",0.0791422041915743
"1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0",0.07914220401228973
"1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0",0.07914220371348213
"0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0",0.07914010849649357
"1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0",0.0791353306947477
"1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1",0.0788512886447745
"1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0",0.07867449517906427
