generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.04791308933875994,0.27551863818008704,0.16171586375942348,0.11380277442066355,2,3092.841390438378
1,20,0.035402825983141456,0.27551863818008704,0.17483225342022984,0.10213494649611646,19,4119.52840603888
2,20,0.047913185521865735,0.27544801035552546,0.15881879355929554,0.09987258737981733,35,3736.2615327499807
3,20,0.04791308933875994,0.27544801035552546,0.18466294003881661,0.09489467296023954,53,3528.0049384646118
4,20,0.049670532635529466,0.27551371307832306,0.1702237206106757,0.0851512374505172,73,3495.1739288419485
5,20,0.04791339750299271,0.26200379531498075,0.16342814393592411,0.06671540020402664,92,3778.2451697327197
6,20,0.03456758594321243,0.2620102451451513,0.13838127973988554,0.0769828267742777,109,3874.2681593596935
7,20,0.04952255168576114,0.2700167465334442,0.14324097755433934,0.07971858899515236,126,3341.0028419569135
8,20,0.049522198852922326,0.27551863818008704,0.13532847554386077,0.08226644578008038,144,3766.9815484695137
9,20,0.033759501465001694,0.27551371307832306,0.12198478583343446,0.07944859345820864,160,3992.4861793518066
10,20,0.04408171674042397,0.2745466363018485,0.1208925660387498,0.06746002041984138,180,3814.946724679321
11,20,0.04408171644362597,0.2743196795809538,0.12568001367125503,0.06901549142354901,199,3566.2226012200117
12,20,0.04961231169297105,0.24831266414524886,0.13340158723701384,0.05565717953278071,217,3478.335915826261
13,20,0.04965566083788774,0.221774935919591,0.11885051374831912,0.040765121488214116,235,3563.203604567796
14,20,0.03678810644484415,0.23930912032109414,0.1299659124646442,0.050651643528168463,254,3392.783337302506
15,20,0.05159250602397866,0.2217761625270299,0.12718678600025823,0.04910029552157294,272,2947.8553426750004
16,20,0.08243542721858917,0.25869759257134395,0.12558046034916037,0.05064814984818128,290,2449.198422111571
17,20,0.04966058056550243,0.25926412799339116,0.13730668225770648,0.06040251317698814,307,3269.1124399378896
18,20,0.04961088987909409,0.25926412799339116,0.14054173625653393,0.06456100880983712,326,3527.1672933660448
19,20,0.05093553304996395,0.2577837282368501,0.13995041307059933,0.05889701211669176,344,3172.2991647571325
20,20,0.05192738906620411,0.23332319711881974,0.1344358310951078,0.0477893141518956,364,2827.7494229748845
