generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.013434974678565734,0.11312730630112586,0.06328114048984579,0.04984616581128006,2,544.1877788952552
1,20,0.012950690016650722,0.11312314856081306,0.05950721370601393,0.04412197378558552,20,736.2970928209834
2,20,0.013434974678565734,0.11311864540851357,0.05534694601135169,0.043466245452304805,37,711.2105093607679
3,20,0.013188411314033279,0.11309405481367331,0.042015825917758653,0.03374991027752011,55,815.7577425991185
4,20,0.013188411314033279,0.11311886580826945,0.054833127857286355,0.044158976910670625,72,723.6043691267259
5,20,0.013188411314033279,0.11285987613278059,0.05067762103384462,0.03824084865932907,90,728.6056021363474
6,20,0.013502329731660805,0.11259408017705179,0.05282759455731676,0.03916867129875102,109,747.8532616789453
7,20,0.013191414711450454,0.11299267480567414,0.05858009649979742,0.0396409232708973,127,737.4330953792669
8,20,0.013502329731660805,0.10978669348165314,0.05876411174225913,0.03740697522091766,147,726.5913705108687
9,20,0.013502329731660805,0.11299344383466776,0.060695565991691514,0.03975022291504846,167,741.9257876100019
10,20,0.013317751677448688,0.1125935665102916,0.05641455400083106,0.03411547169407682,186,753.260804287158
11,20,0.013502329731660805,0.11299338539205912,0.058600092546120544,0.037643140192242554,204,746.1476996066049
12,20,0.013502329731660805,0.11251241836088496,0.05415223773579371,0.03664830178811387,222,740.6109285699204
13,20,0.013502329731660805,0.11251058950661096,0.056289751740073446,0.03500391367990982,241,764.8990993238986
14,20,0.013502329731660805,0.11206643476335697,0.05146542868414864,0.03388529013518239,261,780.4700487959199
15,20,0.013502329731660805,0.1120677038323775,0.05456732574259574,0.03328976801946166,281,729.559896604158
16,20,0.013502329731660805,0.1120677038323775,0.05632672278130885,0.037186994567720205,300,680.3716964232735
17,20,0.013502329731660805,0.11103338545956098,0.044499216569825,0.03110166396665418,320,734.615593988914
18,20,0.013502329731660805,0.11102865304005481,0.039701469664348885,0.030887256380544348,338,737.6557700601406
19,20,0.013683646988064886,0.10903180584807697,0.0468584625142697,0.034619283623882224,358,735.9974480923265
20,20,0.013956193259339748,0.11306002640654846,0.06327062299106614,0.034198325117345774,378,682.0737175308168
