individual,fitness
"1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0",0.183655233593303
"1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0",0.18365487052625337
"1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0",0.18365412719400234
"1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0",0.1836527485211792
"1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0",0.18358276021733735
"1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0",0.1835797637739814
"1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0",0.18356255836669613
"1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0",0.18351659035854714
"1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0",0.1834918964032433
"0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0",0.18258440074487886
"1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0",0.17921171522884333
"1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0",0.17921074422427033
"1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0",0.1785407699258461
"1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0",0.17850577350691116
"1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0",0.17849769101593727
"1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0",0.17754878385996653
"1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0",0.17580697933598313
"1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0",0.17576861213929532
"1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0",0.17572480315389216
"1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1",0.17567982681847752
"1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0",0.17461479875360014
"1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0",0.17363510378803157
"1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0",0.17363485951538724
"1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0",0.17363390051896943
"1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0",0.1736336867833304
"1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0",0.17363331343479316
"1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0",0.1736318173064874
"1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0",0.17179044148755893
"1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0",0.1717893451005297
"1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0",0.17175000601643914
"1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1",0.1717089547063867
"1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0",0.17128172710291004
"1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0",0.17027280937584854
"1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0",0.17026038971638677
"1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0",0.16825468591393877
"1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0",0.16817725297382669
"1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0",0.16817552398659136
"1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1",0.16813747967764056
"1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0",0.16809735634999137
"1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0",0.1680942722231873
"1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0",0.16443306357724347
"1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0",0.16443184914886083
"1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0",0.16440866760752662
"1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0",0.1644015126845871
"1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0",0.1644014417362796
"1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0",0.1643727229666556
"1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0",0.16049656513435248
"1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0",0.15810776620288572
"1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0",0.1581072541000154
"1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0",0.15810271095098863
