generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.08214266341556725,0.08594931030827072,0.08404598686191898,0.0019033234463517318,2,2264.371858894825
1,20,0.045893451874129555,0.13200542286155947,0.08758145377056914,0.025641947967898013,22,4371.570350915194
2,20,0.08158164017693106,0.16236935929907587,0.10752841363654468,0.027299655848325773,39,3258.975332994014
3,20,0.0777371592324576,0.16256447040651567,0.10827005981759963,0.02932378789798196,58,3377.111720569432
4,20,0.07665975558970634,0.1625645378379679,0.10621833580897108,0.02851186828058685,77,3288.976024342701
5,20,0.08158164000724775,0.17670775498265137,0.10481276852643688,0.03109581635531849,95,3315.803719896823
6,20,0.08158163989954921,0.1621602719160465,0.10289575890124854,0.023100205169427082,114,3554.837394585833
7,20,0.07849070227095102,0.13248179622477763,0.09838278810784234,0.019236664781625147,132,3291.377822669223
8,20,0.08075827900127638,0.17481056796672317,0.1064009298313485,0.029433662004491695,150,3313.3310675248504
9,20,0.0807447211278196,0.17559544411878053,0.11436737424264991,0.03558579833555056,166,3152.803917264566
10,20,0.07274552873064534,0.16558701255714484,0.10187803803667747,0.025050946368621953,185,3361.9633360281587
11,20,0.08075817973414139,0.13032282660583483,0.10631640269341654,0.018832370605648917,203,3248.7174967918545
12,20,0.047955589645836856,0.18011685326758922,0.10582389616335752,0.03349560326064438,222,3854.517756767571
13,20,0.04795556336036202,0.17599674166486032,0.12207217258926677,0.030817995829223673,242,3719.8064935021102
14,20,0.07451189836416414,0.16896061621662117,0.10906670629495394,0.02329846674917952,261,3212.7254278380424
15,20,0.07961700514356278,0.16197589170960236,0.11048829490741656,0.024923636710927417,278,3202.131024092436
16,20,0.0762728765217936,0.16197589170960236,0.11744173136075384,0.025976434518555764,298,3139.2337461132556
17,20,0.08160602081468087,0.18010398445537068,0.12068273002520144,0.026469403768977755,317,3213.294154504314
18,20,0.08160602078987214,0.1654138120861143,0.12076869761850129,0.022508770249253934,337,3249.4730620924383
19,20,0.08075810484814322,0.15908847829465206,0.11691658852710748,0.023327722925973318,356,3238.8876782357693
20,20,0.04794671620480158,0.16546368285130483,0.11371611080206934,0.02680128585764268,375,3698.460871519521
