generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.013416384033739261,0.12125606743805532,0.06733622573589729,0.05391984170215803,2,544.346861822065
1,20,0.01320633221825025,0.12124920837857052,0.06547872277541736,0.04525354876350745,20,698.5238080630079
2,20,0.013258281586553814,0.12125606743805532,0.0638091109244214,0.04198216468805248,37,684.3853683453053
3,20,0.013502329731660805,0.11001018558916156,0.04635361001467694,0.034494871316269875,56,722.0572081930004
4,20,0.013502329731660805,0.1211575857254364,0.056873952346145874,0.0355423791696329,75,721.5825151656754
5,20,0.013416384033739261,0.10292103245846011,0.03714074493629062,0.02642475697402705,94,745.8021947322413
6,20,0.01326737219217799,0.1099669952461275,0.049692491283261433,0.03150001719994926,112,715.3820667038672
7,20,0.013267372187564018,0.10999887925305006,0.0395814136233512,0.03010036831949001,132,763.7574245161377
8,20,0.013502329731660805,0.10970953198040341,0.04478901947725174,0.0321422576694759,150,725.8574357926846
9,20,0.013502329731660805,0.10485816177252534,0.0451273583571302,0.02848420165626108,166,677.1242435239255
10,20,0.013502329731660805,0.1099647962374203,0.048246471572045875,0.028919029699626175,184,686.7867108420469
11,20,0.013502329731660805,0.07588825839919935,0.04016898483441852,0.024995457051202416,204,711.9056726838462
12,20,0.013502329731660805,0.10936833728486914,0.045492199529015724,0.025632525333910628,223,698.54583902983
13,20,0.01310504828960759,0.10905646026504183,0.04413403542813986,0.028738599919809055,240,737.4353783600964
14,20,0.013502329731660805,0.1086922706667789,0.04111537679064478,0.025690946193586205,258,680.8926736530848
15,20,0.013520435836883284,0.10485826567154125,0.04257871403892215,0.023545992171952555,277,684.8368127583526
16,20,0.013733471684950744,0.10485654730739524,0.046214768942501774,0.024698620668230975,296,644.2180268960074
17,20,0.013502329731660805,0.10737692472145687,0.039181269475877877,0.02373010138297957,315,704.6590863014571
18,20,0.013502329731660805,0.10737701919202022,0.04399338465053167,0.027026729677391538,334,697.7916324408725
19,20,0.013502329731660805,0.10737701919202022,0.04846010222158019,0.029900699357353854,352,697.2237918246537
20,20,0.013502329731660805,0.09740155387915672,0.040097413564266146,0.026450418539422472,370,705.8629307993688
