individual,fitness
"1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0",0.2641471175952445
"1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1",0.26414457185131995
"1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0",0.26414393956752796
"1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0",0.26414355092117636
"1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0",0.2641424982482887
"1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0",0.2641277804208159
"1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1",0.26408079096555204
"1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0",0.2640653293476563
"1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1",0.26406344714687746
"1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1",0.26370774196331725
"1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1",0.25909021042761377
"1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0",0.25908826224608494
"1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0",0.2590737498842965
"1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1",0.257346504590007
"1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0",0.2573456246817108
"1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0",0.2573443043988034
"1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0",0.25734416619422723
"1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1",0.2573425437548407
"1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1",0.2573390444956044
"1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0",0.25733466549817524
"1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1",0.2572028187185253
"1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0",0.2562978036154126
"1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0",0.2537048034391558
"1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0",0.253701851810749
"1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0",0.25219349533535
"1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0",0.2517084775978407
"1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0",0.2517084775978407
"1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0",0.25170615001160646
"1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1",0.2501776996862241
"1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0",0.24985284477797112
"1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1",0.2498515049101536
"1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0",0.24984976704521206
"1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0",0.2498474642311788
"1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0",0.24984167872176063
"1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0",0.24780998546195496
"1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0",0.24780973656121655
"1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0",0.2478089898620013
"1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0",0.24780829763864484
"1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0",0.247807892726752
"1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0",0.24529285800941664
"1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1",0.24528352024128938
"1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1",0.2452670126403032
"1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1",0.24523331447097607
"1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0",0.24523271618257955
"1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0",0.24522932276305748
"1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0",0.24522704911026408
"1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0",0.2436972247347896
"1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0",0.24036322736971835
"1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1",0.24036216373745695
"1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1",0.2403593977572103
"1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0",0.2394414230643128
"1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0",0.23660552397472323
"1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1",0.23657052270542983
"1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1",0.2365630161355059
"1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0",0.23641390131492074
"0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0",0.23531955843596308
"1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1",0.23416736010379022
"1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0",0.23191785351817773
"1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0",0.230683143921856
"1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0",0.23067873905797143
"1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0",0.22756878295622007
"1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0",0.22756137339152915
"1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0",0.2275320978834071
"1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0",0.2274712788880579
"1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0",0.22672024415724373
"1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0",0.22671521364050506
"1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0",0.2267150541504678
"1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0",0.22671427409220066
"1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0",0.2267122376301218
"1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1",0.226708880695984
"1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0",0.2192003502309323
"1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1",0.2191501975776968
"1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0",0.2191234958185539
"1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0",0.21902876133912394
"1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0",0.2190235250698819
"1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0",0.21898950642810414
"1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0",0.21887420080560288
"1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0",0.21886626172903376
"1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0",0.2188010796908399
"1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0",0.21880068946880551
"1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0",0.21310223102024242
"1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0",0.21308826185535296
"0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1",0.20360865566825448
"0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0",0.20360649129156133
"1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0",0.2036057601884102
"1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0",0.20357134085709036
"1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1",0.20357026790868035
"0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0",0.20355115816183728
"0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0",0.2023234575930418
"1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0",0.20079295258985483
"1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0",0.20075470724822705
"1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0",0.19617237661023396
"1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0",0.19617160551967178
"1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0",0.19617160551967178
"1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0",0.19617160551967178
"1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0",0.19617121997666387
"1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1",0.1960861151730589
"1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1",0.1960860517551036
"1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1",0.19608603521129592
"0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0",0.1948564345457841
"0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1",0.18766922917241421
"1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1",0.1875144610141465
"1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1",0.1874266237168133
"1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1",0.18738840748506191
"1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1",0.18734925253248144
"1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0",0.18708969207491485
"1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0",0.1793049780972428
"0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0",0.17653563032415925
"0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0",0.17601048955527354
"0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0",0.17562947212129884
"0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0",0.17552750969531758
"1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0",0.17379795433549047
"1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0",0.173797349107234
"1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0",0.1737970464946865
"1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0",0.1737970464946865
"1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0",0.1737968951888079
